DDB_ID,Mention_ID,Grain_Index,Candidate_Rank,Is_Primary,Block_Tag,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Grain_Form,Qty_Value,Qty_Unit,Price_Value,Price_Cur,Score,Dist_GP,Dist_GQ,Span_Toks,Lines_Crossed,Priceword_Near,Ambiguous,AltScore,Alt_Qty,Alt_Price,Context_Window,Grain_Canon,Unit_Canon,Cur_Canon,Place_Canon,QtyNum,PriceNum,UnitPrice_raw,Year,YearBin,Context_Clean,Context_OneLine,Tier,Price_DrachmaEq,Qty_Liters,Price_per_Liter_DrachmaEq,Price_per_Artaba_DrachmaEq,log_Price_per_Liter
bgu;20;2840,1,8,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,517.0,αρταβων,100.0,ταλαντα,49.92,5,1,5,0,no,yes,47.93,100 αρταβησ,100 ταλαντα,"1406 ἀντ α ναιρο υμένων δὲ ν
πυροῦ ἀρταβῶν 517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2",wheat (pyros),artaba,talent,Herakleopolite,517.0,100.0,0.19342359767891681,-200.0,-200.0,"1406 ἀντ α ναιρο υμένων δὲ ν
πυροῦ ἀρταβῶν 517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2",1406 ἀντ α ναιρο υμένων δὲ ν πυροῦ ἀρταβῶν 517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2,C,600000.0,20059.6,29.91086562045106,1160.541586073501,1.475828981695494
bgu;20;2840,1,9,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,889.0,αρταβαι,19.0,ταλαντα,52.21,4,1,5,0,no,yes,44.81,100 αρταβησ,19 ταλαντα,"517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2 πυροῦ ἀρτάβαι 889
7-8 τούτοις τ οῖ ς ἀν",wheat (pyros),artaba,talent,Herakleopolite,889.0,19.0,0.021372328458942633,-200.0,-200.0,"517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2 πυροῦ ἀρτάβαι 889
7-8 τούτοις τ οῖ ς ἀν",517 τῆς ἀρτάβης 100 τάλαντα 8 3700 γίνονται τάλαντα 19 1661 1/2 πυροῦ ἀρτάβαι 889 7-8 τούτοις τ οῖ ς ἀν,C,114000.0,34493.2,3.3049992462282423,128.2339707536558,0.5191713647720517
bgu;20;2840,1,10,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,σιτ,705.5,αρταβαι,193.0,ταλαντα,14.78,47,52,52,0,no,yes,14.72,705.5 αρταβαι,5 ταλαντα,"τοῦ ὀψων ίου ἀνταξιου μενου καὶ τοῦ σιτ ων ίου τοῖς ἐν τῶι Ἡρακλεοπολί τ ηι τεταγμένοις ἐν τῶι
εἰς Παχων καὶ Παυνι τοῦ 5 ἔτους ἐκ τ οῦ γεγενημ έ νου διὰ σ ο ῦ ἀριθ μοῦ
τῶν ἀνδρῶν τοῦ 5 ἔτους εἰ ς Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2
τῶν παρ’ Ἑρμοκλέους τοῦ στρατη",grain (sitos),artaba,talent,Herakleopolite,705.5,193.0,0.2735648476257973,-200.0,-200.0,"τοῦ ὀψων ίου ἀνταξιου μενου καὶ τοῦ σιτ ων ίου τοῖς ἐν τῶι Ἡρακλεοπολί τ ηι τεταγμένοις ἐν τῶι
εἰς Παχων καὶ Παυνι τοῦ 5 ἔτους ἐκ τ οῦ γεγενημ έ νου διὰ σ ο ῦ ἀριθ μοῦ
τῶν ἀνδρῶν τοῦ 5 ἔτους εἰ ς Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2
τῶν παρ’ Ἑρμοκλέους τοῦ στρατη",τοῦ ὀψων ίου ἀνταξιου μενου καὶ τοῦ σιτ ων ίου τοῖς ἐν τῶι Ἡρακλεοπολί τ ηι τεταγμένοις ἐν τῶι εἰς Παχων καὶ Παυνι τοῦ 5 ἔτους ἐκ τ οῦ γεγενημ έ νου διὰ σ ο ῦ ἀριθ μοῦ τῶν ἀνδρῶν τοῦ 5 ἔτους εἰ ς Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2 τῶν παρ’ Ἑρμοκλέους τοῦ στρατη,C,1158000.0,27373.399999999998,42.30384241636041,1641.3890857547838,1.6263798157068436
bgu;20;2840,1,11,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,705.5,αρταβαι,5.0,ταλαντα,55.2,3,1,4,0,no,yes,52.21,705.5 αρταβαι,193 ταλαντα,"Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2
τῶν παρ’ Ἑρμοκλέους τοῦ στρατη",wheat (pyros),artaba,talent,Herakleopolite,705.5,5.0,0.007087172218284904,-200.0,-200.0,"Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2
τῶν παρ’ Ἑρμοκλέους τοῦ στρατη",Παχων ἀγή ματος Μακεδονικοῦ γίνονται ἄνδ ρες 193 τάλαντα 5 1240 πυροῦ ἀρτάβαι 705 1/2 τῶν παρ’ Ἑρμοκλέους τοῦ στρατη,C,30000.0,27373.399999999998,1.0959544667450885,42.523033309709426,0.03979251103508862
bgu;20;2840,1,12,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,10.0,αρταβασ,192.0,ταλαντα,42.93,7,1,7,0,no,yes,40.7,10 αρταβασ,5 ταλαντα,"ου υτ ιωνος Δορ ου Π ολυτίωνος 200 πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας",wheat (pyros),artaba,talent,Herakleopolite,10.0,192.0,19.2,-200.0,-200.0,"ου υτ ιωνος Δορ ου Π ολυτίωνος 200 πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας",ου υτ ιωνος Δορ ου Π ολυτίωνος 200 πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ πυροῦ ἀρτάβας,C,1152000.0,388.0,2969.0721649484535,115199.99999999999,3.472620753492986
bgu;20;2840,1,13,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,703.5,αρταβασ,5.0,ταλαντα,51.88,2,5,7,0,no,yes,48.89,10 αρταβασ,5 ταλαντα,"πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι",wheat (pyros),artaba,talent,Herakleopolite,703.5,5.0,0.007107320540156361,-200.0,-200.0,"πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι",πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι,C,30000.0,27295.8,1.0990701866221178,42.643923240938165,0.04102542735469071
bgu;20;2840,1,14,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,703.5,αρταβασ,5.0,ταλαντα,44.87,6,1,7,0,no,yes,42.48,703.5 αρταβασ,192 ταλαντα,"πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι",wheat (pyros),artaba,talent,Herakleopolite,703.5,5.0,0.007107320540156361,-200.0,-200.0,"πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ
πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι",πυροῦ ἀρτάβας 10 ἄ λλ οις ὧν 192 τάλαντα 5 πυροῦ ἀρτάβας χ πυροῦ ἀρτάβας 703 1/2 κ αὶ εἰς Π αυν ι,C,30000.0,27295.8,1.0990701866221178,42.643923240938165,0.04102542735469071
bgu;20;2840,1,15,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,703.5,αρταβασ,5.0,ταλαντα,53.2,3,1,4,0,no,yes,47.92,703.5 αρταβασ,10 ταλαντα,703 1/2 κ αὶ εἰς Π αυν ι τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ,wheat (pyros),artaba,talent,Herakleopolite,703.5,5.0,0.007107320540156361,-200.0,-200.0,703 1/2 κ αὶ εἰς Π αυν ι τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ,703 1/2 κ αὶ εἰς Π αυν ι τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ,C,30000.0,27295.8,1.0990701866221178,42.643923240938165,0.04102542735469071
bgu;20;2840,1,16,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,1406.0,αρταβαι,10.0,ταλαντα,52.21,4,1,5,0,no,yes,46.61,703.5 αρταβασ,10 ταλαντα,"τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406
α ἐν τ ῇ ι 2",wheat (pyros),artaba,talent,Herakleopolite,1406.0,10.0,0.007112375533428165,-200.0,-200.0,"τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406
α ἐν τ ῇ ι 2",τάλαντα 5 Β πυροῦ ἀρτάβας 703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406 α ἐν τ ῇ ι 2,C,60000.0,54552.799999999996,1.099851886612603,42.67425320056899,0.04133420410563131
bgu;20;2840,1,17,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,1406.0,αρταβαι,29.0,ταλαντα,40.25,2,26,26,0,no,yes,39.71,,29 ταλαντα,"703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406
α ἐν τ ῇ ι 2 ἐν τ ῶ ι βα σιλικῶι μη νὸς Ἀ πελλα ίου ουν οὖν φ του τάλαντα 29 πυροῦ ἀρτάβας",wheat (pyros),artaba,talent,Herakleopolite,1406.0,29.0,0.020625889046941678,-200.0,-200.0,"703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406
α ἐν τ ῇ ι 2 ἐν τ ῶ ι βα σιλικῶι μη νὸς Ἀ πελλα ίου ουν οὖν φ του τάλαντα 29 πυροῦ ἀρτάβας",703 1/2 γίνονται τάλαντα 10 4013 3 πυροῦ ἀρτάβαι 1406 α ἐν τ ῇ ι 2 ἐν τ ῶ ι βα σιλικῶι μη νὸς Ἀ πελλα ίου ουν οὖν φ του τάλαντα 29 πυροῦ ἀρτάβας,C,174000.0,54552.799999999996,3.1895704711765487,123.75533428165008,0.5037322020045873
bgu;20;2840,3,1,1,yes,ab,Amtliche Korrespondenz über Kornlieferung für Soldaten,Herakleopolites,29. Juli 200 v.Chr. (Jahr unsicher),-0200-07-29,,,πυρου,889.0,αρταβασ,29.0,ταλαντα,73.71,4,1,4,0,no,no,,,,"ἔτους 5 Παυνι 21 Σπάρτακος


πυροῦ ἀρτάβας 889
τάλαντα 29",wheat (pyros),artaba,talent,Herakleopolite,889.0,29.0,0.03262092238470191,-200.0,-200.0,"ἔτους 5 Παυνι 21 Σπάρτακος


πυροῦ ἀρτάβας 889
τάλαντα 29",ἔτους 5 Παυνι 21 Σπάρτακος   πυροῦ ἀρτάβας 889 τάλαντα 29,A,174000.0,34493.2,5.044472533716791,195.72553430821145,0.7028157617181788
